business_name,website,phone,location,business_category,source,scrape_date
Casa Limone,https://www.yellowpages.com/new-york-ny/mip/casa-limone-559963424?lid=1002178110679,(646) 347-2865,20 East 49th Street,restaurants,Yellow Pages,2024-11-03
Dave & Buster's New York City - Times Square,https://www.yellowpages.com/new-york-ny/mip/dave-busters-new-york-city-times-square-8889637,(646) 495-2015,234 W 42nd St 3rd Fl,restaurants,Yellow Pages,2024-11-03
Paul & Jimmy's Restaurant,https://www.yellowpages.com/new-york-ny/mip/paul-jimmys-restaurant-2388948,(212) 475-9540,123 E 18th St,restaurants,Yellow Pages,2024-11-03
Festival Restaurant,https://www.yellowpages.com/new-york-ny/mip/festival-restaurant-4598334,(212) 995-0154,120 Rivington St,restaurants,Yellow Pages,2024-11-03
Bobby Van's Steakhouse - 54th Street,https://www.yellowpages.com/new-york-ny/mip/bobby-vans-steakhouse-54th-street-11139387,(212) 207-8050,131 E 54th St,restaurants,Yellow Pages,2024-11-03
Pig & Whistle Pub Restaurant,https://www.yellowpages.com/new-york-ny/mip/pig-whistle-pub-restaurant-3605566,(212) 302-0112,165 W 47th St,restaurants,Yellow Pages,2024-11-03
Johnny Rock,https://www.yellowpages.com/new-york-ny/mip/johnny-rock-10705734,(212) 813-0003,930 3rd Ave,restaurants,Yellow Pages,2024-11-03
S'mac,https://www.yellowpages.com/new-york-ny/mip/smac-459052000,(212) 358-7912,197 1st Ave,restaurants,Yellow Pages,2024-11-03
Pita Grill Restaurant,https://www.yellowpages.com/new-york-ny/mip/pita-grill-restaurant-6265201,(212) 363-2333,69 New St,restaurants,Yellow Pages,2024-11-03
Sparks Steak House,https://www.yellowpages.com/new-york-ny/mip/sparks-steak-house-15362553,(212) 687-4855,210 E 46th St,restaurants,Yellow Pages,2024-11-03
Babbo,https://www.yellowpages.com/new-york-ny/mip/babbo-285698,(212) 777-0303,110 Waverly Pl,restaurants,Yellow Pages,2024-11-03
Red House Restaurant,https://www.yellowpages.com/new-york-ny/mip/red-house-restaurant-12325724,(212) 228-8288,203 E 14th St Frnt A,restaurants,Yellow Pages,2024-11-03
El Presidente Restaurant,https://www.yellowpages.com/new-york-ny/mip/el-presidente-restaurant-5220578,(212) 927-7011,3938 Broadway,restaurants,Yellow Pages,2024-11-03
Firefly,https://www.yellowpages.com/new-york-ny/mip/firefly-11739917,(212) 966-8716,54 Spring St,restaurants,Yellow Pages,2024-11-03
Hudson Falafel Restaurant,https://www.yellowpages.com/new-york-ny/mip/hudson-falafel-restaurant-15936501,(212) 242-3939,516 Hudson St,restaurants,Yellow Pages,2024-11-03
Gramercy Café,https://www.yellowpages.com/new-york-ny/mip/gramercy-caf-3465042,(212) 982-2121,184 3rd Ave,restaurants,Yellow Pages,2024-11-03
Carbone Ristorante Italiano,https://www.yellowpages.com/new-york-ny/mip/carbone-ristorante-italiano-5846586,(212) 290-2625,331 W 38th St,restaurants,Yellow Pages,2024-11-03
Planet Hollywood,https://www.yellowpages.com/new-york-ny/mip/planet-hollywood-891219,(212) 333-7827,1540 Broadway,restaurants,Yellow Pages,2024-11-03
Old Homestead Steakhouse,https://www.yellowpages.com/new-york-ny/mip/old-homestead-steakhouse-1275150,(212) 242-9040,56 9th Ave,restaurants,Yellow Pages,2024-11-03
Il Piccolo Bufalo,https://www.yellowpages.com/new-york-ny/mip/il-piccolo-bufalo-456107819,(212) 219-9068,141 Mulberry St,restaurants,Yellow Pages,2024-11-03
Sofia's of Little Italy,https://www.yellowpages.com/new-york-ny/mip/sofias-of-little-italy-460197252,(212) 219-9799,143 Mulberry St,restaurants,Yellow Pages,2024-11-03
Stout NYC,https://www.yellowpages.com/new-york-ny/mip/stout-nyc-467207041,(212) 629-6191,133 W 33rd St,restaurants,Yellow Pages,2024-11-03
Noi Due,https://www.yellowpages.com/new-york-ny/mip/noi-due-11198294,(212) 712-2222,143 W 69th St,restaurants,Yellow Pages,2024-11-03
Frankie's Spuntino,https://www.yellowpages.com/new-york-ny/mip/frankies-spuntino-10889409,(212) 253-2303,17 Clinton St,restaurants,Yellow Pages,2024-11-03
Pinto Restaurant,https://www.yellowpages.com/new-york-ny/mip/pinto-restaurant-12974269,(212) 366-5455,118 Christopher St,restaurants,Yellow Pages,2024-11-03
Esca,https://www.yellowpages.com/new-york-ny/mip/esca-3306782,(212) 564-7272,402 W 43rd St,restaurants,Yellow Pages,2024-11-03
Dervish Turkish Restaurant,https://www.yellowpages.com/new-york-ny/mip/dervish-turkish-restaurant-336190,(212) 997-0070,146 W 47th St,restaurants,Yellow Pages,2024-11-03
Georgio's Country Grill,https://www.yellowpages.com/new-york-ny/mip/georgios-country-grill-14162738,(212) 977-1150,801 9th Ave,restaurants,Yellow Pages,2024-11-03
Mughlai Indian Cuisine,https://www.yellowpages.com/new-york-ny/mip/mughlai-indian-cuisine-4398082,(212) 724-6363,320 Columbus Ave,restaurants,Yellow Pages,2024-11-03
Nello,https://www.yellowpages.com/new-york-ny/mip/nello-4654897,(212) 980-9099,696 Madison Ave,restaurants,Yellow Pages,2024-11-03
Battery Park Vision Associates,https://www.yellowpages.com/new-york-ny/mip/battery-park-vision-associates-8425524?lid=1002161262943,(646) 693-5594,99 Battery Pl,gyms,Yellow Pages,2024-11-03
Whitney Chemists,https://www.yellowpages.com/new-york-ny/mip/whitney-chemists-6466415?lid=1001848529643,(212) 473-4166,"50 University Pl, # 1",gyms,Yellow Pages,2024-11-03
iLoveKickboxing - Chelsea,https://www.yellowpages.com/new-york-ny/mip/ilovekickboxing-chelsea-468400656,(646) 395-9138,149 W 27th St,gyms,Yellow Pages,2024-11-03
Definitions,https://www.yellowpages.com/new-york-ny/mip/definitions-1105776,(212) 367-7272,19 Union Sq W,gyms,Yellow Pages,2024-11-03
New York Fitness,https://www.yellowpages.com/new-york-ny/mip/new-york-fitness-6311247,(212) 368-1700,3550 Broadway,gyms,Yellow Pages,2024-11-03
